generation_idx	max_steps	mean_steps	max_apples	mean_apples	max_score	mean_score
604	11400	1029.26	66	9.336	3.160905711951817E30	6.794816509657986E27
605	10400	925.912	55	8.266	2.532968545621243E27	7.600926223742484E24
606	12000	986.782	67	9.336	4.638960697735776E30	1.1270318906698064E28
607	10200	967.888	58	7.898	6.72156603514824E27	3.308864284756065E25
608	9200	860.494	58	7.164	4.712101121129514E27	1.0498886845374957E25
609	9600	1004.844	63	9.814	2.7503947195234646E29	6.997143996313594E26
610	10600	944.0	66	10.876	1.788443786526285E30	4.8156103213969053E27
611	11200	1016.274	61	9.898	6.849412966242037E28	3.179012162624308E26
612	10000	961.988	65	8.972	1.044707244114237E30	2.14791447195586E27
613	10600	930.068	66	8.792	1.8070474223719508E30	4.8169314458035937E27
614	12600	873.374	62	7.62	9.225106030797705E30	1.8647403285423258E28
615	11400	1004.14	68	9.786	1.1682571923650472E31	2.54048541443111E28
616	9000	1005.17	69	8.876	2.211299209637079E31	4.42699330718886E28
617	9000	1004.162	67	7.806	5.424811579667477E30	1.1061714879513866E28
618	12800	1097.634	71	9.63	1.397400548935956E32	3.182245779164109E29
619	13600	1051.624	70	10.362	3.712157844854171E32	1.0231602245196836E30
620	11200	947.138	69	9.932	2.875159931256896E31	5.805237014284395E28
621	12200	1229.7	69	12.964	2.537406878111362E31	7.201166213577449E28
622	12000	1124.082	62	8.246	9.961241799803158E29	2.4327021846834284E27
623	12600	1109.488	68	7.426	1.0206878499856497E31	3.967915145817762E28
624	9800	1086.658	72	7.242	2.626190147302687E32	5.5322663045727965E29
625	14200	1230.128	70	8.336	3.380373820500715E33	7.02028105813612E30
626	11800	1325.418	64	8.93	7.08524638646461E29	4.281303746538725E27
627	14000	1465.98	71	10.062	1.6197717036242883E33	3.9316277668394234E30
628	13200	1017.978	72	6.284	2.0351453083707048E32	8.643086867719799E29
629	12200	1210.762	71	8.612	1.0888311772400394E32	2.5474077602323098E29
630	13600	1322.006	67	8.122	3.712157844854171E32	9.413030864758124E29
631	13000	1292.268	71	8.474	1.3781263321148498E32	4.082630209537601E29
632	13800	1524.336	69	10.484	7.756699454605121E32	1.6150718115607437E30
633	14000	1467.288	71	11.43	1.6197717036242883E33	7.185569628003453E30
634	13600	1265.2	67	8.976	3.712157844854171E32	7.445468624463222E29
635	13600	1361.062	67	11.418	3.712157844854171E32	7.744418256573708E29
636	13800	1211.234	68	10.252	7.756699454605121E32	1.624114333402913E30
637	12800	1255.85	71	11.136	1.434296120072007E32	5.0516148774845514E29
638	9800	792.122	68	6.342	1.4829236915419442E31	3.975556397138765E28
639	14000	781.268	69	6.35	1.6197717036242883E33	3.4754525295456E30
640	14000	1629.062	69	13.38	1.6197717036242883E33	6.791670104659294E30
641	13400	1251.47	68	10.21	1.775391388109154E32	7.283633382821678E29
642	13600	1219.114	72	10.196	3.712157844854171E32	1.52908367390195E30
643	13600	1167.364	71	8.564	3.712157844854171E32	1.1504443022250812E30
644	13200	1200.618	70	9.48	8.485384214744322E31	3.319653645685559E29
645	13800	1293.006	70	9.476	7.756699454605121E32	1.993331263467397E30
646	12800	1409.4	71	10.702	1.0394960534583028E32	4.726013510165154E29
647	13600	1306.118	70	11.272	3.712157844854171E32	1.6990988538136773E30
648	13800	1421.306	73	9.902	7.756699454605121E32	5.496677481935043E30
649	13200	1144.724	69	8.59	8.485384214744322E31	2.582074823692785E29
650	13200	1212.01	65	8.252	8.485384214744322E31	3.4917642673148665E29
